date,cluster_id,demand,temperature,supply
2021-01-11,0_15,107.0,11.2,88.0
2021-01-11,0_16,168.0,11.2,160.0
2021-01-11,0_17,109.0,11.2,115.0
2021-01-11,0_18,27.0,11.2,26.0
2021-01-11,0_2,353.0,11.2,363.0
2021-01-11,0_3,15.0,11.2,13.0
2021-01-11,0_4,58.0,11.2,47.0
2021-01-11,0_5,62.0,11.2,52.0
2021-01-11,0_6,377.0,11.2,386.0
2021-01-11,0_7,136.0,11.2,134.0
2021-01-11,0_8,35.0,11.2,39.0
2021-01-11,0_9,16.0,11.2,18.0
2021-01-11,1_0,21.0,11.2,19.0
2021-01-11,1_1,66.0,11.2,71.0
2021-01-11,1_2,21.0,11.2,20.0
2021-01-11,1_4,32.0,11.2,29.0
2021-01-11,1_5,15.0,11.2,15.0
2021-01-11,1_6,21.0,11.2,21.0
2021-01-11,2_0,32.0,11.2,34.0
2021-01-11,2_1,117.0,11.2,115.0
2021-01-11,2_2,62.0,11.2,57.0
2021-01-11,2_3,182.0,11.2,187.0
2021-01-12,0_0,296.0,11.6,326.0
2021-01-12,0_1,4.0,11.6,4.0
2021-01-12,0_10,233.0,11.6,231.0
2021-01-12,0_11,213.0,11.6,225.0
2021-01-12,0_12,22.0,11.6,29.0
2021-01-12,0_13,116.0,11.6,127.0
2021-01-12,0_14,22.0,11.6,22.0
2021-01-12,0_15,78.0,11.6,69.0
2021-01-12,0_16,188.0,11.6,171.0
2021-01-12,0_17,106.0,11.6,98.0
2021-01-12,0_18,20.0,11.6,23.0
2021-01-12,0_2,345.0,11.6,350.0
2021-01-12,0_3,22.0,11.6,17.0
2021-01-12,0_4,39.0,11.6,35.0
2021-01-12,0_5,41.0,11.6,40.0
2021-01-12,0_6,382.0,11.6,363.0
2021-01-12,0_7,152.0,11.6,152.0
2021-01-12,0_8,39.0,11.6,33.0
2021-01-12,0_9,30.0,11.6,33.0
2021-01-12,1_0,22.0,11.6,26.0
2021-01-12,1_1,62.0,11.6,70.0
2021-01-12,1_2,6.0,11.6,9.0
2021-01-12,1_3,2.0,11.6,3.0
2021-01-12,1_4,36.0,11.6,30.0
2021-01-12,1_5,19.0,11.6,13.0
2021-01-12,1_6,29.0,11.6,25.0
2021-01-12,2_0,33.0,11.6,35.0
2021-01-12,2_1,95.0,11.6,100.0
2021-01-12,2_2,50.0,11.6,48.0
2021-01-12,2_3,185.0,11.6,180.0
2021-01-13,0_0,324.0,13.1,347.0
2021-01-13,0_1,21.0,13.1,20.0
2021-01-13,0_10,256.0,13.1,267.0
2021-01-13,0_11,245.0,13.1,241.0
2021-01-13,0_12,29.0,13.1,30.0
2021-01-13,0_13,154.0,13.1,150.0
2021-01-13,0_14,27.0,13.1,31.0
2021-01-13,0_15,143.0,13.1,129.0
2021-01-13,0_16,241.0,13.1,214.0
2021-01-13,0_17,132.0,13.1,137.0
2021-01-13,0_18,39.0,13.1,42.0
2021-01-13,0_2,415.0,13.1,419.0
2021-01-13,0_3,18.0,13.1,19.0
2021-01-13,0_4,57.0,13.1,52.0
2021-01-13,0_5,78.0,13.1,79.0
2021-01-13,0_6,437.0,13.1,443.0
2021-01-13,0_7,173.0,13.1,168.0
2021-01-13,0_8,61.0,13.1,61.0
2021-01-13,0_9,22.0,13.1,23.0
2021-01-13,1_0,33.0,13.1,22.0
2021-01-13,1_1,77.0,13.1,84.0
2021-01-13,1_2,22.0,13.1,23.0
2021-01-13,1_3,1.0,13.1,1.0
2021-01-13,1_4,37.0,13.1,39.0
2021-01-13,1_5,18.0,13.1,18.0
2021-01-13,1_6,40.0,13.1,41.0
2021-01-13,2_0,33.0,13.1,33.0
2021-01-13,2_1,128.0,13.1,127.0
2021-01-13,2_2,52.0,13.1,52.0
2021-01-13,2_3,177.0,13.1,178.0
2021-01-14,0_0,347.0,13.4,367.0
2021-01-14,0_1,10.0,13.4,3.0
2021-01-14,0_10,275.0,13.4,283.0
2021-01-14,0_11,212.0,13.4,228.0
2021-01-14,0_12,26.0,13.4,27.0
2021-01-14,0_13,149.0,13.4,152.0
2021-01-14,0_14,23.0,13.4,26.0
2021-01-14,0_15,127.0,13.4,120.0
2021-01-14,0_16,235.0,13.4,217.0
2021-01-14,0_17,168.0,13.4,171.0
2021-01-14,0_18,41.0,13.4,46.0
2021-01-14,0_2,400.0,13.4,392.0
2021-01-14,0_3,21.0,13.4,18.0
2021-01-14,0_4,61.0,13.4,67.0
2021-01-14,0_5,84.0,13.4,71.0
2021-01-14,0_6,421.0,13.4,413.0
2021-01-14,0_7,173.0,13.4,175.0
2021-01-14,0_8,79.0,13.4,73.0
2021-01-14,0_9,15.0,13.4,18.0
2021-01-14,1_0,23.0,13.4,25.0
2021-01-14,1_1,77.0,13.4,81.0
2021-01-14,1_2,14.0,13.4,17.0
2021-01-14,1_4,59.0,13.4,45.0
2021-01-14,1_5,21.0,13.4,21.0
2021-01-14,1_6,19.0,13.4,24.0
2021-01-14,2_0,30.0,13.4,31.0
2021-01-14,2_1,89.0,13.4,84.0
2021-01-14,2_2,46.0,13.4,47.0
2021-01-14,2_3,204.0,13.4,207.0
2021-01-15,0_0,394.0,12.3,411.0
2021-01-15,0_1,23.0,12.3,17.0
2021-01-15,0_10,308.0,12.3,317.0
2021-01-15,0_11,251.0,12.3,264.0
2021-01-15,0_12,40.0,12.3,31.0
2021-01-15,0_13,156.0,12.3,155.0
2021-01-15,0_14,25.0,12.3,21.0
2021-01-15,0_15,144.0,12.3,116.0
2021-01-15,0_16,242.0,12.3,239.0
2021-01-15,0_17,175.0,12.3,179.0
2021-01-15,0_18,42.0,12.3,36.0
2021-01-15,0_2,469.0,12.3,461.0
2021-01-15,0_3,18.0,12.3,18.0
2021-01-15,0_4,71.0,12.3,77.0
2021-01-15,0_5,90.0,12.3,90.0
2021-01-15,0_6,515.0,12.3,509.0
2021-01-15,0_7,199.0,12.3,216.0
2021-01-15,0_8,95.0,12.3,105.0
2021-01-15,0_9,35.0,12.3,32.0
2021-01-15,1_0,27.0,12.3,24.0
2021-01-15,1_1,79.0,12.3,82.0
2021-01-15,1_2,10.0,12.3,10.0
2021-01-15,1_3,1.0,12.3,1.0
2021-01-15,1_4,54.0,12.3,47.0
2021-01-15,1_5,21.0,12.3,23.0
2021-01-15,1_6,23.0,12.3,27.0
2021-01-15,2_0,39.0,12.3,41.0
2021-01-15,2_1,93.0,12.3,96.0
2021-01-15,2_2,61.0,12.3,57.0
2021-01-15,2_3,192.0,12.3,190.0
