station_id,lat,lng,region,sub_region_cluster,cluster_id
SF-F9,37.7851285423051,-122.47757912474601,0,5,0_5
SF-G10-1,37.78244348976166,-122.47190819740153,0,5,0_5
SF-G10-2,37.78038021095251,-122.47282936866773,0,5,0_5
SF-G11,37.78171693220729,-122.46761801402725,0,5,0_5
SF-G12,37.78229220753849,-122.46548439389802,0,5,0_5
SF-G13,37.78153691374125,-122.45874595962053,0,4,0_4
SF-G17,37.78398614887653,-122.4427710338545,0,16,0_16
SF-G18,37.78436773572402,-122.4393712698331,0,16,0_16
SF-G19,37.78370670853388,-122.43452366981428,0,16,0_16
SF-G20,37.785371386154075,-122.43171366891792,0,16,0_16
SF-G20-1,37.79,-122.43,0,17,0_17
SF-G23,37.785477282313494,-122.41939390267643,0,6,0_6
SF-G24,37.787033875909174,-122.41661453314062,0,6,0_6
SF-G25,37.78726577718865,-122.41336623654782,0,6,0_6
SF-G26,37.78579130979964,-122.40879040845236,0,6,0_6
SF-G27,37.786238955396826,-122.40521369090554,0,0,0_0
SF-G28-1,37.786457030151,-122.39846464013866,0,0,0_0
SF-G28-2,37.78673089529896,-122.39991720347928,0,0,0_0
SF-G29-1,37.78749778367173,-122.39835873245735,0,0,0_0
SF-G29-2,37.78709816937091,-122.39458499630325,0,0,0_0
SF-G29-3,37.78797580448894,-122.3956692990103,0,0,0_0
SF-G30-1,37.788033778778086,-122.39201116469836,0,0,0_0
SF-G30-2,37.78732375261207,-122.38813846562579,0,0,0_0
SF-G5,37.78172362900372,-122.49278993687986,0,5,0_5
SF-G6,37.77952948444179,-122.48773866162071,0,5,0_5
SF-G6-1,37.781804875153604,-122.48597723310924,0,5,0_5
SF-G7,37.78194669013555,-122.4827317876824,0,5,0_5
SF-G8,37.77991542733568,-122.48043527492834,0,5,0_5
SF-G8-1,37.77852799145677,-122.47797718391371,0,5,0_5
SF-G9,37.7807952828189,-122.47618762904365,0,5,0_5
SF-GGP-01,37.771499495453156,-122.4583304752119,0,15,0_15
SF-GGP-02,37.766554017365436,-122.46420317150786,0,15,0_15
SF-GGP-03,37.77290857836114,-122.46591091287083,0,15,0_15
SF-GGP-04,37.77144682591832,-122.49576551276412,0,18,0_18
SF-GGP-05,37.77047596573704,-122.51058832183556,0,8,0_8
SF-H0,37.77527252903811,-122.51114544132933,0,8,0_8
SF-H12,37.77954990803597,-122.46314330649798,0,4,0_4
SF-H13,37.77861728800851,-122.45860873135491,0,4,0_4
SF-H14,37.780894610714554,-122.45626804855114,0,4,0_4
SF-H15,37.78066658835072,-122.4504394677153,0,4,0_4
SF-H16,37.78114963340951,-122.4472875608886,0,16,0_16
SF-H17,37.78245695419922,-122.44201909973818,0,16,0_16
SF-H18,37.78241430082295,-122.43961296831775,0,16,0_16
SF-H19,37.78201041233955,-122.43561164165524,0,16,0_16
SF-H20,37.78330649184962,-122.43108069182291,0,16,0_16
SF-H25,37.78405372085361,-122.41195260506831,0,6,0_6
SF-H26,37.783832731662,-122.40838053920017,0,6,0_6
SF-H26-2,37.782400649385636,-122.40742839591297,0,6,0_6
